1,ARI,SEA
1,BAL,CIN
1,CHI,IND
1,CLE,PHI
1,DEN,PIT
1,DET,STL
1,GB,SF
1,HOU,MIA
1,KC,ATL
1,MIN,JAX
1,NO,WAS
1,NYG,DAL
1,NYJ,BUF
1,OAK,SD
1,TB,CAR
1,TEN,NE
2,ATL,DEN
2,BUF,KC
2,CAR,NO
2,CIN,CLE
2,GB,CHI
2,IND,MIN
2,JAX,HOU
2,MIA,OAK
2,NE,ARI
2,NYG,TB
2,PHI,BAL
2,PIT,NYJ
2,SD,TEN
2,SEA,DAL
2,SF,DET
2,STL,WAS
3,ARI,PHI
3,BAL,NE
3,CAR,NYG
3,CHI,STL
3,CLE,BUF
3,DAL,TB
3,DEN,HOU
3,IND,JAX
3,MIA,NYJ
3,MIN,SF
3,NO,KC
3,OAK,PIT
3,SD,ATL
3,SEA,GB
3,TEN,DET
3,WAS,CIN
4,ARI,MIA
4,ATL,CAR
4,BAL,CLE
4,BUF,NE
4,DAL,CHI
4,DEN,OAK
4,DET,MIN
4,GB,NO
4,HOU,TEN
4,JAX,CIN
4,KC,SD
4,NYJ,SF
4,PHI,NYG
4,STL,SEA
4,TB,WAS
5,CAR,SEA
5,CIN,MIA
5,IND,GB
5,JAX,CHI
5,KC,BAL
5,MIN,TEN
5,NE,DEN
5,NO,SD
5,NYG,CLE
5,NYJ,HOU
5,PIT,PHI
5,SF,BUF
5,STL,ARI
5,WAS,ATL
6,ARI,BUF
6,ATL,OAK
6,BAL,DAL
6,CLE,CIN
6,HOU,GB
6,MIA,STL
6,NYJ,IND
6,PHI,DET
6,SD,DEN
6,SEA,NE
6,SF,NYG
6,TB,KC
6,TEN,PIT
6,WAS,MIN
7,BUF,TEN
7,CAR,DAL
7,CHI,DET
7,CIN,PIT
7,HOU,BAL
7,IND,CLE
7,MIN,ARI
7,NE,NYJ
7,NYG,WAS
7,OAK,JAX
7,SF,SEA
7,STL,GB
7,TB,NO
8,ARI,SF
8,CHI,CAR
8,CLE,SD
8,DAL,NYG
8,DEN,NO
8,DET,SEA
8,GB,JAX
8,KC,OAK
8,MIN,TB
8,NYJ,MIA
8,PHI,ATL
8,PIT,WAS
8,STL,NE
8,TEN,IND
9,ATL,DAL
9,CIN,DEN
9,CLE,BAL
9,GB,ARI
9,HOU,BUF
9,IND,MIA
9,JAX,DET
9,NO,PHI
9,NYG,PIT
9,OAK,TB
9,SD,KC
9,SEA,MIN
9,TEN,CHI
9,WAS,CAR
10,BAL,OAK
10,CAR,DEN
10,CHI,HOU
10,CIN,NYG
10,JAX,IND
10,MIA,TEN
10,MIN,DET
10,NE,BUF
10,NO,ATL
10,PHI,DAL
10,PIT,KC
10,SEA,NYJ
10,SF,STL
10,TB,SD
11,ATL,ARI
11,BUF,MIA
11,CAR,TB
11,DAL,CLE
11,DEN,SD
11,DET,GB
11,HOU,JAX
11,KC,CIN
11,NE,IND
11,OAK,NO
11,PIT,BAL
11,SF,CHI
11,STL,NYJ
11,WAS,PHI
12,ARI,STL
12,CHI,MIN
12,CIN,OAK
12,CLE,PIT
12,DAL,WAS
12,DET,HOU
12,IND,BUF
12,JAX,TEN
12,KC,DEN
12,MIA,SEA
12,NO,SF
12,NYG,GB
12,NYJ,NE
12,PHI,CAR
12,SD,BAL
12,TB,ATL
13,ATL,NO
13,BAL,PIT
13,BUF,JAX
13,CHI,SEA
13,DAL,PHI
13,DEN,TB
13,DET,IND
13,GB,MIN
13,KC,CAR
13,MIA,NE
13,NYJ,ARI
13,OAK,CLE
13,SD,CIN
13,STL,SF
13,TEN,HOU
13,WAS,NYG
14,BUF,STL
14,CAR,ATL
14,CIN,DAL
14,CLE,KC
14,GB,DET
14,IND,TEN
14,JAX,NYJ
14,MIN,CHI
14,NE,HOU
14,NYG,NO
14,OAK,DEN
14,PIT,SD
14,SEA,ARI
14,SF,MIA
14,TB,PHI
14,WAS,BAL
15,ARI,DET
15,ATL,NYG
15,BAL,DEN
15,BUF,SEA
15,CHI,GB
15,CLE,WAS
15,DAL,PIT
15,HOU,IND
15,MIA,JAX
15,NE,SF
15,NO,TB
15,OAK,KC
15,PHI,CIN
15,SD,CAR
15,STL,MIN
15,TEN,NYJ
16,ARI,CHI
16,BAL,NYG
16,CAR,OAK
16,DAL,NO
16,DEN,CLE
16,DET,ATL
16,GB,TEN
16,HOU,MIN
16,JAX,NE
16,KC,IND
16,MIA,BUF
16,NYJ,SD
16,PHI,WAS
16,PIT,CIN
16,SEA,SF
16,TB,STL
17,ATL,TB
17,BUF,NYJ
17,CIN,BAL
17,DEN,KC
17,DET,CHI
17,IND,HOU
17,MIN,GB
17,NE,MIA
17,NO,CAR
17,NYG,PHI
17,PIT,CLE
17,SD,OAK
17,SEA,STL
17,SF,ARI
17,TEN,JAX
17,WAS,DAL
